rep,scenario,status,n,n_sh,n_ns,true_mu,true_beta,true_Ksh,true_Kns,true_ash,true_ans,true_R,mu_hat,beta_hat,Ksh_hat,Kns_hat,ash_hat,ans_hat,R_hat,ll2,aic2,ll1,aic1,LR,lrt_p,R_lo,R_hi,R_covered,n_boot_ok,ks_p
31,A,ok,273,234,39,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.605496904632044,4.012556210658427,0.16491960341030162,1.2778470958430088e-07,1.0000052347426631e-06,0.0065900826181700045,1290605.1431881408,32.55305088429719,-53.106101768594385,31.339987188798546,-54.67997437759709,2.4261273909972942,0.2972850918132369,0.24209034774615257,1305.0338565138823,True,32,0.49991595072574
32,A,ok,369,318,51,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.87301188700183,3.738796872946477,0.08443454317609746,3.919252870643654e-05,1.4555776878375581,1.5994846464349175,2154.3530352056837,214.10651362853775,-416.2130272570755,213.16946840602117,-418.33893681204233,1.8740904450331755,0.3917837606007679,0.16270822677997676,46.72615261023506,True,27,0.3508819046640752
33,A,ok,338,295,43,2.5,4.0,0.15,0.02,1.2,0.2,7.5,1.9968105608011946,3.7291850363199557,0.2664268865563669,0.2142037843998746,1.0184685535503273,4.794019853942023e-06,1.243801024817575,166.00285955678424,-320.0057191135685,165.31911245582984,-322.6382249116597,1.367494201908812,0.5047221995569768,0.2684802096061953,39.406395304588536,True,26,0.5967898709410899
34,A,ok,313,274,39,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.339868089257099,3.2356463694509845,0.25367884154802345,0.0010595276370970643,0.7403238085141964,2.25,239.4263562987963,89.99693745676888,-167.99387491353775,87.85979479636961,-167.71958959273923,4.274285320798526,0.11799150361172939,0.19117240766389165,61.07621071157904,True,36,0.828401684431031
35,A,ok,302,253,49,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.7623530684749684,4.299059653677441,0.061192339476606024,6.529135445193555e-08,1.7593029068845467,0.003936339962619632,937219.6363555755,73.78560447684464,-135.57120895368928,70.93259077509185,-133.8651815501837,5.706027403505573,0.0576702577625251,0.18090788239910716,628.8027156895805,True,36,0.9705541655837988
36,A,ok,308,268,40,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.4481191765023773,4.367756205853888,0.11508356209467868,0.15626973117362103,1.2623667155969456,0.5297210091163592,0.7364417998954442,97.22644158342655,-182.4528831668531,96.81530973439885,-185.6306194687977,0.8222636980553943,0.6628995231809043,0.24998067922815084,462.31614793804465,True,38,0.6751877075699334
37,A,ok,315,263,52,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.576929633802495,4.490582630813634,0.14656359864791807,2.7364426052775435e-06,1.2786110001834987,0.037656293476381476,53559.90232181495,97.05431859571615,-182.1086371914323,95.72195695853077,-183.44391391706154,2.664723274370772,0.2638533989231001,0.19179073904688113,372.75561544206005,True,35,0.606293228140348
38,A,ok,349,292,57,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.874948290475487,5.318904029711419,0.09237271638785197,0.0001008653124377959,1.58915108006687,0.009903854480176826,915.8026099886287,163.8069118246292,-315.6138236492584,159.71088177844445,-311.4217635568889,8.192060092369502,0.016638598927795734,0.10246019099001488,2440.60163775445,True,32,0.8534325678924733
39,A,ok,320,269,51,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.454486421825058,2.8442351457158335,0.06909871984689012,0.09585350619762548,1.9923860005872551,1.3146903056462893,0.7208783756373626,123.80646098672537,-235.61292197345074,122.5298814725981,-237.0597629451962,2.5531590282545267,0.2789899514473091,0.17948898512011213,477.18409323966273,True,32,0.9205441768637543
40,A,ok,306,262,44,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.8379105940967917,9.19454891609595,0.07090998957710692,0.2327827047241393,1.3140016238606005,6.3086987949971966e-06,0.3046188060283056,78.24076389645023,-144.48152779290047,76.5041181507512,-145.0082363015024,3.473291491398072,0.17611012917252467,0.29124189925035826,312.01200887168824,True,32,0.9962248219731857
