time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-13T13:59:42.110Z,-42.4868,173.3307,9.09,4.2,mb,,115,0.169,1.24,us,us10007dbr,2017-02-09T03:02:22.040Z,"89 km NNE of Amberley, New Zealand",earthquake,3.5,3.1,0.264,4,reviewed,us,us
2016-11-13T14:04:22.940Z,-42.6743,173.0249,10,5,mb,,123,0.293,0.96,us,us10007dbt,2017-02-09T03:02:23.040Z,"58 km NNE of Amberley, New Zealand",earthquake,6.6,1.9,0.326,5,reviewed,us,us
2016-11-13T14:12:29.780Z,-41.771,174.2011,5.87,4.9,mb,,60,0.023,0.57,us,us10007dd7,2017-02-09T03:02:23.040Z,"35 km SE of Blenheim, New Zealand",earthquake,2,1.3,0.396,3,reviewed,us,us
2016-11-13T14:15:48.090Z,-41.903,174.1038,20.8,4.2,mb,,157,0.174,0.44,us,us100077ax,2017-02-09T03:02:23.040Z,"44 km SSE of Blenheim, New Zealand",earthquake,4.5,6.8,0.306,3,reviewed,us,us
2016-11-13T14:20:02.770Z,-41.8445,174.2371,10.04,4.5,mb,,114,0.097,0.39,us,us10007dek,2017-02-09T03:02:23.040Z,"43 km SSE of Blenheim, New Zealand",earthquake,3.6,5.7,0.172,12,reviewed,us,us
2016-11-13T14:33:58.160Z,-42.3566,173.3166,10,4.3,mb,,141,0.644,0.71,us,us10007df7,2017-02-09T03:02:23.040Z,"100 km NNE of Amberley, New Zealand",earthquake,2.1,2,0.377,2,reviewed,us,us
2016-11-13T14:40:42.270Z,-41.7219,174.2189,12,4.3,mb,,104,0.027,0.32,us,us10007dby,2017-02-09T03:02:23.040Z,"31 km SE of Blenheim, New Zealand",earthquake,2.4,2,0.267,4,reviewed,us,us
2016-11-13T14:42:47.150Z,-42.2558,173.7111,4.14,4.3,mb,,103,0.204,0.94,us,us10007dbz,2017-02-09T03:02:23.040Z,"84 km SSW of Blenheim, New Zealand",earthquake,1.9,5.9,0.238,5,reviewed,us,us
2016-11-13T14:45:47.930Z,-42.0905,173.8866,16.03,4.3,mb,,123,0.375,0.7,us,us10007dey,2017-02-09T03:02:23.040Z,"64 km S of Blenheim, New Zealand",earthquake,2.2,4,0.238,5,reviewed,us,us
2016-11-13T14:50:49.580Z,-41.7383,174.288,21.13,4.2,mb,,182,0.056,0.58,us,us10007dc0,2017-02-09T03:02:23.040Z,"37 km SE of Blenheim, New Zealand",earthquake,3.8,8.6,0.215,6,reviewed,us,us
2016-11-13T14:53:33.890Z,-42.6497,174.1399,10,4.1,mb,,156,0.501,0.75,us,us10007dc7,2017-02-09T03:02:23.040Z,"126 km S of Blenheim, New Zealand",earthquake,3.3,2,0.262,4,reviewed,us,us
2016-11-13T15:00:26.770Z,-41.9601,174.3011,6.8,4.5,mb,,119,0.22,0.78,us,us10007dc6,2017-02-09T03:02:23.040Z,"57 km SSE of Blenheim, New Zealand",earthquake,2.2,5,0.156,13,reviewed,us,us
2016-11-13T15:05:07.880Z,-42.333,174.0055,11.67,4.9,mb,,105,0.355,0.72,us,us10007dc5,2017-02-09T03:02:23.040Z,"90 km S of Blenheim, New Zealand",earthquake,2.2,4.9,0.114,25,reviewed,us,us
2016-11-13T15:10:26.900Z,-41.6996,174.2631,10,4.8,mb,,93,0.061,0.95,us,us10007dc4,2017-02-09T03:02:23.040Z,"32 km SE of Blenheim, New Zealand",earthquake,2.5,1.8,0.135,18,reviewed,us,us
2016-11-13T15:16:31.850Z,-41.8858,173.8933,12.55,4.2,mb,,107,0.171,0.47,us,us10007deb,2017-02-09T03:02:23.040Z,"41 km S of Blenheim, New Zealand",earthquake,2.5,3.7,0.371,3,reviewed,us,us
2016-11-13T15:17:44.980Z,-42.2895,173.6384,10,4.1,mb,,114,0.146,1,us,us10007dd0,2017-02-09T03:02:23.040Z,"89 km SSW of Blenheim, New Zealand",earthquake,1.7,2,0.302,3,reviewed,us,us
2016-11-13T15:21:31.860Z,-41.7375,174.3557,10,4.3,mb,,187,0.106,0.96,us,us10007ddd,2017-02-09T03:02:23.040Z,"41 km SE of Blenheim, New Zealand",earthquake,2.4,1.9,0.307,3,reviewed,us,us
2016-11-13T15:22:38.120Z,-41.8656,174.2008,10,4.4,mb,,86,0.117,1.02,us,us10007dee,2017-02-09T03:02:23.040Z,"43 km SSE of Blenheim, New Zealand",earthquake,3.2,1.9,0.241,6,reviewed,us,us
2016-11-13T15:24:53.580Z,-41.9595,174.264,10,4.4,mb,,118,0.213,1.09,us,us10007dc9,2017-02-09T03:02:23.040Z,"55 km SSE of Blenheim, New Zealand",earthquake,2.3,1.9,0.17,10,reviewed,us,us
2016-11-13T15:33:03.250Z,-41.8579,174.2904,12.08,5.1,mwr,,88,0.123,0.91,us,us100077bl,2017-02-09T03:02:23.040Z,"47 km SE of Blenheim, New Zealand",earthquake,4.2,3.9,0.054,33,reviewed,us,us
2016-11-13T15:37:50.130Z,-42.3102,173.8233,10,4.1,mb,,205,0.235,0.89,us,us10007dde,2017-02-09T03:02:23.040Z,"88 km S of Blenheim, New Zealand",earthquake,2.1,2,0.302,3,reviewed,us,us
2016-11-13T15:38:19.210Z,-41.7139,174.2669,14.61,4.5,mb,,94,0.292,1.06,us,us10007dc8,2017-02-09T03:02:23.040Z,"34 km SE of Blenheim, New Zealand",earthquake,2.9,5.3,0.163,11,reviewed,us,us
2016-11-13T15:52:50.720Z,-41.9167,174.4034,9.19,4,mb,,216,0.443,0.21,us,us10007dcb,2017-02-09T03:02:23.040Z,"58 km SE of Blenheim, New Zealand",earthquake,3.6,8,0.258,4,reviewed,us,us
2016-11-13T15:58:01.150Z,-41.7447,174.2244,13.33,3.9,mb,,140,0.009,0.76,us,us100077c1,2017-02-09T03:02:23.040Z,"34 km SE of Blenheim, New Zealand",earthquake,2.8,7.4,0.23,5,reviewed,us,us
2016-11-13T15:58:20.890Z,-42.5854,172.9676,4.07,4.1,mb,,104,0.384,0.54,us,us10007ddg,2017-02-09T03:02:23.040Z,"66 km NNE of Amberley, New Zealand",earthquake,2,6.5,0.234,5,reviewed,us,us
2016-11-13T15:58:36.760Z,-41.9562,173.7211,10,5,mb,,105,0.267,0.6,us,us10007dej,2017-02-09T03:02:23.040Z,"52 km SSW of Blenheim, New Zealand",earthquake,3.1,1.9,0.098,33,reviewed,us,us
2016-11-13T16:01:44.220Z,-42.4186,173.8029,25.88,4.4,mb,,160,0.195,0.87,us,us10007den,2017-02-09T03:02:23.040Z,"101 km S of Blenheim, New Zealand",earthquake,3.8,10,0.311,3,reviewed,us,us
2016-11-13T16:08:53.940Z,-42.4971,173.3291,18.31,4.4,mb,,140,0.175,0.62,us,us100077c5,2017-02-09T03:02:23.040Z,"88 km NNE of Amberley, New Zealand",earthquake,4.3,8.8,0.309,3,reviewed,us,us
2016-11-13T16:21:58.580Z,-41.7069,174.2297,16.64,4.4,mb,,100,0.265,0.45,us,us10007dcd,2017-02-09T03:02:23.040Z,"31 km SE of Blenheim, New Zealand",earthquake,4.1,4.2,0.218,6,reviewed,us,us
2016-11-13T16:23:45.890Z,-41.946,174.0278,17.53,4.4,mb,,113,0.257,0.49,us,us100077c8,2017-02-09T03:02:23.040Z,"48 km S of Blenheim, New Zealand",earthquake,3.9,6.1,0.178,9,reviewed,us,us
2016-11-13T16:34:26.280Z,-42.3089,174.1642,10,4.4,mb,,138,0.475,0.7,us,us10007dch,2017-02-09T03:02:23.040Z,"89 km SSE of Blenheim, New Zealand",earthquake,3.5,2,0.309,3,reviewed,us,us
2016-11-13T16:36:18.810Z,-41.7034,174.2331,18.44,4.4,mb,,93,0.047,0.76,us,us10007dce,2017-02-09T03:02:23.040Z,"31 km SE of Blenheim, New Zealand",earthquake,2.8,3.9,0.155,12,reviewed,us,us
2016-11-13T16:44:03.580Z,-41.9792,174.0158,15.35,4.1,mb,,118,0.273,0.66,us,us10007der,2017-02-09T03:02:23.040Z,"51 km S of Blenheim, New Zealand",earthquake,2.7,3.6,0.233,5,reviewed,us,us
2016-11-13T16:46:30.210Z,-42.0047,174.0445,14.08,4.6,mb,,145,0.315,0.46,us,us10007dcf,2017-02-09T03:02:23.040Z,"54 km S of Blenheim, New Zealand",earthquake,4.4,5.4,0.152,15,reviewed,us,us
2016-11-13T16:53:19.750Z,-41.7529,174.2511,13.89,4.6,mb,,103,0.028,0.85,us,us100077cf,2017-02-09T03:02:23.040Z,"36 km SE of Blenheim, New Zealand",earthquake,3.2,5.4,0.133,19,reviewed,us,us
2016-11-13T17:01:21.320Z,-42.2889,173.5971,13.25,4.5,mb,,125,0.134,0.67,us,us10007dcj,2017-02-09T03:02:23.040Z,"90 km SSW of Blenheim, New Zealand",earthquake,2.7,6.4,0.205,7,reviewed,us,us
2016-11-13T17:17:38.770Z,-42.5775,173.825,10,5.2,mb,,126,0.266,0.92,us,us100077ck,2017-02-09T03:02:24.040Z,"110 km NE of Amberley, New Zealand",earthquake,4.5,1.8,0.097,35,reviewed,us,us
2016-11-13T17:38:52.400Z,-42.3837,174.2431,10,4.2,mb,,178,0.634,1.49,us,us10007dcs,2017-02-09T03:02:24.040Z,"99 km SSE of Blenheim, New Zealand",earthquake,3.4,1.9,0.265,4,reviewed,us,us
2016-11-13T17:39:25.310Z,-42.2721,173.4494,10,4.7,mb,,63,0.158,1.1,us,us10007deg,2017-02-09T03:02:24.040Z,"93 km SSW of Blenheim, New Zealand",earthquake,2.7,1.9,0.142,15,reviewed,us,us
2016-11-13T17:42:50.330Z,-42.3029,173.9746,10,4.7,mb,,189,0.342,0.75,us,us10007dcr,2017-02-09T03:02:24.040Z,"87 km S of Blenheim, New Zealand",earthquake,3.5,2,0.174,10,reviewed,us,us
2016-11-13T18:10:26.660Z,-42.7125,172.9046,10,4.5,mb,,102,0.272,1.29,us,us100077d6,2017-02-09T03:02:24.040Z,"51 km NNE of Amberley, New Zealand",earthquake,2.8,1.9,0.145,14,reviewed,us,us
2016-11-13T18:16:37.100Z,-42.6114,173.2869,10,4.6,mwr,,126,0.269,1.16,us,us100077d9,2017-02-09T03:02:24.040Z,"75 km NE of Amberley, New Zealand",earthquake,2,1.9,0.054,33,reviewed,us,us
2016-11-13T18:21:33.120Z,-41.949,174.3048,10,4.3,mb,,118,0.211,1.04,us,us10007dcx,2017-02-09T03:02:24.040Z,"56 km SSE of Blenheim, New Zealand",earthquake,4.3,1.9,0.177,9,reviewed,us,us
2016-11-13T18:23:51.060Z,-42.0176,174.1419,10,4.2,mb,,119,0.273,0.98,us,us10007dcy,2017-02-09T03:02:24.040Z,"57 km SSE of Blenheim, New Zealand",earthquake,2.1,1.9,0.159,11,reviewed,us,us
2016-11-13T18:34:26.150Z,-41.9103,174.1956,10,4.9,mb,,113,0.161,0.64,us,us100077dn,2017-02-09T03:02:24.040Z,"48 km SSE of Blenheim, New Zealand",earthquake,3,1.9,0.11,26,reviewed,us,us
2016-11-13T18:49:24.220Z,-42.0236,174.0071,10,4.8,mb,,116,0.314,0.47,us,us100077dx,2017-02-09T03:02:24.040Z,"56 km S of Blenheim, New Zealand",earthquake,3.4,1.9,0.135,17,reviewed,us,us
2016-11-13T18:59:07.730Z,-42.3868,173.9531,10,5.2,mb,,116,0.308,0.72,us,us100077e0,2017-02-09T03:02:24.040Z,"96 km S of Blenheim, New Zealand",earthquake,3.8,1.8,0.091,40,reviewed,us,us
2016-11-13T18:59:51.620Z,-42.0487,174.2414,10,4.8,mb,,123,0.3,1.11,us,us10007de5,2017-02-09T03:02:24.040Z,"63 km SSE of Blenheim, New Zealand",earthquake,3.6,1.9,0.153,13,reviewed,us,us
2016-11-13T19:09:24.240Z,-41.9571,174.5037,10,4.6,mb,,205,0.3,0.79,us,us100077e8,2017-02-09T03:02:24.040Z,"67 km SE of Blenheim, New Zealand",earthquake,1.7,1.9,0.152,13,reviewed,us,us
2016-11-13T19:28:41.880Z,-41.8382,174.4654,11.28,4.5,mb,,139,0.208,0.77,us,us10007lih,2017-02-09T03:02:24.040Z,"55 km SE of Blenheim, New Zealand",earthquake,2.8,6.4,0.18,9,reviewed,us,us
2016-11-13T19:28:56.720Z,-42.3743,173.9374,10,5.7,mww,,134,0.298,1.25,us,us100077ef,2022-05-03T19:48:01.006Z,"95 km S of Blenheim, New Zealand",earthquake,4.6,1.9,,,reviewed,us,us
2016-11-13T19:38:07.540Z,-41.7781,174.2998,10,4.7,mb,,106,0.07,1.38,us,us100077en,2017-02-09T03:02:24.040Z,"41 km SE of Blenheim, New Zealand",earthquake,2.7,1.9,0.138,16,reviewed,us,us
2016-11-13T20:09:59.600Z,-42.1103,173.6786,10,4.5,mb,,114,0.322,0.98,us,us100077ez,2017-02-09T03:02:24.040Z,"69 km SSW of Blenheim, New Zealand",earthquake,2.3,1.9,0.181,9,reviewed,us,us
2016-11-13T20:14:50.860Z,-42.3681,173.8784,10,4.5,mwr,,134,0.256,0.97,us,us100077ey,2017-02-09T03:02:24.040Z,"94 km S of Blenheim, New Zealand",earthquake,1.6,1.9,0.068,21,reviewed,us,us
2016-11-13T20:22:14.060Z,-42.2163,173.669,10,4.8,mb,,67,0.221,1.27,us,us100077f0,2017-02-09T03:02:24.040Z,"81 km SSW of Blenheim, New Zealand",earthquake,3,1.9,0.135,17,reviewed,us,us
2016-11-13T20:44:21.910Z,-42.4141,173.9758,10,4.4,mb,,168,0.323,0.88,us,us100077f6,2017-02-09T03:02:24.040Z,"99 km S of Blenheim, New Zealand",earthquake,2.2,2,0.269,4,reviewed,us,us
2016-11-13T21:00:20.950Z,-42.6908,172.7807,10,4.3,mb,,82,0.333,0.91,us,us10007ddf,2017-02-09T03:02:24.040Z,"51 km N of Amberley, New Zealand",earthquake,3.6,1.9,0.266,4,reviewed,us,us
